brand,total_ads,image_ads,video_ads,image_ratio,video_ratio,latest_ad_date,recent_30d_ads
Beauty of Joseon,46,46,0,1.0,0.0,2026-03-23,29
Biodance,2,2,0,1.0,0.0,2026-03-12,2
EADEM,10,10,0,1.0,0.0,2026-03-01,8
The Ordinary,200,200,0,1.0,0.0,2026-03-22,194
Touchland,166,166,0,1.0,0.0,2026-03-16,71
Tower 28 Beauty,18,18,0,1.0,0.0,2026-03-21,9
rhode,41,41,0,1.0,0.0,2026-03-20,19
