brand,total_ads,image_ads,video_ads,image_ratio,video_ratio,latest_ad_date,recent_30d_ads
Clinique,189,189,0,1.0,0.0,2026-03-21,110
IT Cosmetics,33,33,0,1.0,0.0,2026-03-19,32
La Roche-Posay,166,166,0,1.0,0.0,2026-03-19,147
OLEHENRIKSEN,31,31,0,1.0,0.0,2026-03-23,29
TATCHA,200,200,0,1.0,0.0,2026-03-19,191
The Ordinary,25,25,0,1.0,0.0,2026-03-13,20
medicube,19,19,0,1.0,0.0,2026-03-23,18
