brand,total_ads,image_ads,video_ads,image_ratio,video_ratio,latest_ad_date,recent_30d_ads
VTコスメティックス,30,30,0,1.0,0.0,2026-03-22,30
be bare,1,1,0,1.0,0.0,2026-03-17,1
ザツールラボ,20,20,0,1.0,0.0,2026-03-22,17
